id,tipo_tramite,area,urgencia,documentos_completos,descripcion,descripcion_len,observaciones_previas,reclamos_previos,estado,prioridad,tiempo_estimado
1,Solicitud de acceso a información,Secretaría general,Baja,True,Consulta sobre expediente administrativo.,41,0,0,Rechazado,Baja,12
2,Reclamo ciudadano,Atención ciudadana,Baja,True,Reclamo por demora en atención de expediente previo.,52,1,0,Aprobado,Baja,18
3,Constancia municipal,Secretaría general,Alta,True,Emisión de constancia municipal simple.,39,2,0,En revisión,Media,10
4,Trámite de catastro,Catastro,Baja,True,Actualización de datos catastrales del predio.,46,2,0,Aprobado,Media,11
5,Licencia de funcionamiento,Mesa de partes,Alta,True,Regularización de licencia municipal para establecimiento.,58,2,0,Observado,Alta,4
6,Permiso de construcción,Mesa de partes,Alta,False,Solicitud de autorización para construcción menor.,50,2,0,Aprobado,Alta,10
7,Permiso de construcción,Mesa de partes,Media,True,Revisión de expediente técnico para obra.,41,0,0,En revisión,Media,7
8,Reclamo ciudadano,Secretaría general,Baja,False,Queja por falta de respuesta en trámite municipal.,50,1,0,Aprobado,Media,9
9,Reclamo ciudadano,Secretaría general,Baja,False,Reclamo por demora en atención de expediente previo.,52,1,0,En revisión,Media,15
10,Trámite de catastro,Catastro,Baja,True,Solicitud de certificado catastral.,35,0,0,Observado,Baja,17
11,Permiso de construcción,Desarrollo urbano,Media,True,Revisión de expediente técnico para obra.,41,0,0,Observado,Media,7
12,Reclamo ciudadano,Atención ciudadana,Media,True,Solicitud de revisión por observación no atendida.,50,0,0,Observado,Media,6
13,Solicitud de acceso a información,Secretaría general,Media,True,Solicitud de copia de documentos administrativos.,49,0,0,Aprobado,Baja,15
14,Permiso de construcción,Mesa de partes,Baja,False,Permiso para ampliación de vivienda familiar.,45,1,2,Finalizado,Media,15
15,Constancia municipal,Mesa de partes,Baja,False,Solicitud de constancia para trámite externo.,45,1,1,Registrado,Baja,17
16,Licencia de funcionamiento,Mesa de partes,Alta,False,Regularización de licencia municipal para establecimiento.,58,0,0,Observado,Alta,3
17,Reclamo ciudadano,Atención ciudadana,Alta,True,Solicitud de revisión por observación no atendida.,50,0,0,Aprobado,Media,7
18,Constancia municipal,Secretaría general,Alta,False,Solicitud de constancia para trámite externo.,45,1,0,Aprobado,Media,14
19,Constancia municipal,Secretaría general,Baja,True,Solicitud de constancia domiciliaria.,37,0,0,Registrado,Baja,14
